,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
m2858,m787,m3293,m2999,m820,m3410,m2197,m3245,m2833,m3303,m2156,m3056,m687,m2221,m669,m2494,m310,m1160,m3092,m389,m2930,m128,m1026,m3338,m1412,m1087,m326,m2358,m50,m2493,m90
m260,m3126,m3245,m2578,m53,m1534,m1196,m3410,m2825,m864,m2905,m755,m1198,m1741,m1369,m1412,m1420,m3338,m844,m3522,m1210,m1444,m745,m2765,m1148,m3056,m50,m3092,m318,m858,m1262
m1196,m90,m1741,m787,m2578,m755,m1534,m260,m2905,m3648,m2358,m1210,m1198,m634,m3056,m2824,m3522,m1420,m1412,m698,m3245,m844,m745,m2999,m3338,m2207,m326,m2839,m3292,m2127,m2682
m1210,m2487,m3407,m1444,m2056,m3282,m1196,m634,m260,m2156,m560,m1872,m3905,m755,m129,m2175,m1412,m1651,m3540,m394,m3245,m1871,m2185,m1291,m1198,m2933,m3050,m1486,m1437,m3183,m2800
m480,m3631,m744,m2825,m1436,m3335,m2191,m1538,m1567,m1903,m3803,m2776,m2061,m2964,m2219,m834,m2545,m309,m2894,m1444,m3443,m769,m1397,m2187,m2156,m3581,m320,m2466,m3757,m3472,m1420
m2028,m90,m167,m682,m2578,m787,m3003,m2494,m2175,m2773,m755,m3625,m966,m2197,m2930,m527,m318,m757,m1198,m110,m1250,m1272,m858,m356,m3870,m211,m2762,m2905,m1242,m3469,m877
m589,m2156,m1664,m1538,m3056,m3205,m310,m844,m2673,m598,m2358,m3314,m1519,m3126,m3482,m1436,m1149,m2578,m1144,m2569,m264,m682,m1743,m1068,m2783,m3245,m1240,m2679,m746,m3154,m3492
m2571,m1420,m1138,m1444,m755,m129,m167,m3314,m682,m2578,m3056,m53,m573,m2814,m3891,m844,m864,m3338,m3625,m2487,m3245,m1695,m260,m1412,m1218,m2323,m745,m3875,m1743,m1198,m2762
m1270,m966,m985,m3522,m1659,m1315,m1675,m1871,m3056,m2494,m3292,m1534,m682,m874,m2578,m1068,m820,m121,m1369,m755,m2187,m757,m2964,m2207,m3137,m2493,m746,m2185,m1198,m2215,m3338
m593,m853,m787,m1741,m560,m3609,m53,m1002,m2930,m2061,m966,m318,m858,m2905,m2493,m682,m1420,m2494,m3245,m50,m326,m1198,m3495,m1193,m811,m3410,m47,m527,m1759,m2762,m2607
m1580,m2578,m108,m755,m1886,m3443,m2358,m1567,m96,m1071,m1780,m1437,m1684,m3880,m649,m1406,m2342,m1715,m297,m729,m1901,m1664,m2187,m3570,m3757,m1117,m3874,m617,m3092,m156,m3625
m1198,m1741,m3245,m2494,m3292,m2197,m1412,m3338,m2765,m90,m746,m260,m214,m755,m844,m2358,m1196,m1262,m1534,m2905,m318,m745,m1250,m50,m3880,m1148,m858,m527,m1234,m720,m904
m608,m787,m1149,m1420,m757,m2503,m1117,m3154,m3410,m560,m167,m2127,m3245,m1002,m962,m1901,m1664,m2905,m966,m2931,m1534,m1178,m729,m3880,m3338,m2930,m96,m2061,m2726,m1361,m108
m2762,m1664,m755,m3875,m3880,m696,m3495,m1349,m3058,m2342,m2127,m2984,m3410,m59,m2981,m1138,m116,m1509,m1450,m1651,m318,m1198,m1743,m1741,m3679,m2332,m50,m1571,m3757,m1242,m3281
m110,m966,m167,m406,m37,m1659,m3853,m864,m90,m2129,m3314,m598,m3443,m3625,m526,m3311,m1262,m318,m746,m2028,m958,m1567,m854,m3578,m1198,m2767,m2854,m2329,m211,m3147,m1226
m2396,m1149,m3245,m1369,m1741,m1138,m2219,m985,m3056,m2562,m980,m874,m3522,m1116,m1743,m1160,m3092,m567,m3880,m3777,m2578,m3338,m3570,m1871,m3533,m2999,m1180,m3894,m3935,m2855,m1651
m1197,m744,m2503,m1664,m560,m2494,m3378,m1420,m3245,m3092,m2127,m2765,m2197,m2994,m1871,m755,m136,m860,m2569,m3410,m385,m3056,m966,m598,m2342,m1675,m37,m40,m90,m745,m720
m527,m844,m1349,m2562,m3245,m2061,m2192,m2197,m823,m2765,m820,m1811,m633,m2358,m2503,m877,m116,m318,m962,m3849,m49,m3522,m2905,m1420,m3338,m1026,m3905,m3746,m2028,m858,m1198
m1617,m1174,m1420,m844,m2999,m2931,m787,m2175,m2905,m3245,m3495,m2705,m128,m3880,m793,m214,m53,m3306,m820,m1026,m3679,m326,m2557,m1780,m2981,m3056,m1901,m50,m745,m3849,m682
m1265,m3292,m755,m1534,m966,m560,m2911,m1002,m3585,m1780,m1068,m1420,m844,m1412,m2503,m1423,m1657,m1872,m3338,m3570,m310,m649,m2999,m394,m1144,m3832,m3737,m214,m2562,m3038,m2156
m1097,m820,m2994,m2358,m1871,m3803,m1903,m3056,m3314,m634,m3495,m3853,m3522,m3443,m167,m2776,m966,m1879,m573,m2219,m844,m3050,m1901,m3849,m2823,m755,m1780,m3303,m2578,m1531,m211
m2997,m1685,m3641,m2830,m1534,m3292,m1901,m1903,m1423,m3415,m2911,m394,m3522,m1664,m3056,m2192,m2931,m1138,m962,m874,m3585,m3410,m59,m2999,m3570,m3050,m3495,m1675,m3532,m2342,m669
m318,m2304,m404,m37,m3644,m3245,m775,m3349,m853,m2299,m3410,m1002,m2192,m769,m811,m3292,m1741,m1412,m1811,m3522,m985,m3677,m2358,m787,m844,m50,m3058,m527,m2905,m1198,m2357
m858,m787,m1420,m3245,m1221,m980,m1138,m2905,m1369,m2494,m2019,m1178,m2503,m50,m649,m3522,m1262,m1204,m53,m1250,m2930,m922,m1213,m904,m3338,m746,m1276,m2931,m1193,m750,m1212
m356,m90,m37,m2658,m2510,m2197,m2999,m3003,m406,m1741,m985,m2464,m3523,m2814,m820,m2773,m3853,m3147,m1567,m2028,m598,m318,m1749,m1384,m3311,m2049,m110,m3474,m1928,m1725,m2299
m2716,m1780,m2061,m2156,m2242,m394,m1315,m958,m3338,m1657,m3056,m3580,m2494,m2299,m1651,m3853,m167,m864,m3292,m3215,m583,m2493,m526,m3092,m3644,m2905,m3222,m1068,m1406,m844,m129
